KO,G34369,G34415,G34450,G34481,G34510,G34569,G34647,G34393,G34421,G34458,G34499,G34524,G37547,G34402,G34430,G34473,G34500,G34533,G34621
K05290,127,436,67,58,137,134,84,23,243,37,160,322,160,389,73,58,77,23,94
K05291,45,194,32,22,67,60,40,8,72,25,90,62,74,87,21,25,39,4,41
K05292,43,625,21,10,61,133,35,2,275,9,26,451,17,479,15,17,28,4,13
K05293,32,446,15,9,40,104,25,3,139,4,26,322,11,342,10,5,15,8,4
K05294,43,630,8,4,45,123,39,2,280,5,20,461,7,499,10,1,26,4,0
K05295,0,0,0,0,0,0,0,6,0,0,0,2,0,1,2,0,1,2,0
K05296,619,1338,701,552,281,1026,911,935,1310,690,1127,1004,904,1084,858,938,654,811,948
K05297,1533,1380,681,549,316,1027,586,1103,1329,591,1010,1234,827,950,940,998,1274,728,962
K05298,64,837,4,5,82,159,37,12,276,4,54,589,36,563,32,25,36,10,24
K05299,9,179,41,10,45,109,163,525,209,41,55,108,24,154,54,6,76,430,20
K05301,107,290,440,580,36,367,536,570,521,341,830,158,1181,117,158,549,99,468,1842
K05302,80,1227,27,24,106,191,95,4,352,17,48,725,52,506,26,33,44,11,34
K05303,317,274,292,256,154,263,250,340,327,240,367,308,447,402,277,294,247,215,215
K05304,148,174,307,259,20,137,217,558,169,393,239,389,244,101,412,240,174,251,85
K05305,155,181,145,95,227,115,130,31,157,69,285,126,278,240,74,112,117,53,156
K05306,55,118,107,78,50,91,136,1228,124,117,62,146,89,109,83,124,364,675,100
K05307,15,50,29,34,37,23,22,2,26,6,44,30,60,36,12,44,8,1,17
K05308,29,104,117,18,19,189,193,211,172,160,86,119,73,122,275,17,25,206,21
K05309,129,783,158,99,144,251,186,145,340,81,330,495,300,536,84,101,142,124,175
K05310,13,15,10,2,3,10,8,0,4,5,11,11,12,11,7,6,8,8,3
K05311,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
K05312,20,48,80,45,13,85,46,47,52,96,134,96,95,138,45,61,154,39,52
K05313,3,31,16,12,3,29,18,11,12,1,104,22,45,86,4,14,120,14,34
K05323,15,14,26,15,4,19,7,4,25,9,16,13,26,35,16,13,32,1,18
K05330,1,131,8,0,16,22,9,2,10,1,30,24,4,21,6,2,48,3,7
K05334,2,2,1,2,3,5,3,0,1,8,4,3,10,4,0,2,2,0,2
K05336,0,0,1,0,0,0,0,0,0,0,3,0,0,2,1,1,3,0,4
K05337,380,1443,2029,1723,198,731,1239,1252,923,1924,1763,635,2608,954,2071,1288,587,867,1080
K05338,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
K05339,18,0,2,1,0,3,3,2,3,3,3,10,1,1,3,1,11,1,0
K05340,159,254,99,158,30,127,50,199,193,85,107,244,130,269,249,137,155,86,66
K05341,4,33,21,49,0,25,33,7,82,22,84,4,55,9,49,166,87,6,75
K05342,6,11,9.5,5,3,5.5,8.5,50,6.5,5.5,6,4.5,2,7,3,10,3,53,8
K05343,3,2088,62,41,59,216,890,314,346,32,98,326,99,1107,32,266,17,266,334
K05346,8,15,16,24,4,30,7,5,15,32,15,9,8,6,25,44,7,3,12
K05349,19430,12289,11605,10938,3287,9312,7396,8287,15501,7165,12981,12793,11749,12372,11486,13875,13989,5242,7484
K05350,1271,3656,3280,2772,518,2352,2601,2331,3826,3021,5478,2834,4924,2225,3193,4676,1813,1298,3278
K05351,175,383,252,278,55,340,216,445,578,188,336,747,307,394,541,529,184,230,232
K05352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0
K05353,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
K05354,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,3,0
K05355,42,82,42,38,33,34,36,14,41,7,65,26,72,57,30,28,23,22,48
K05356,66,1958,4786,3240,68,1182,1305,37,2241,4082,2264,513,4462,1061,4645,3603,52,37,1455
K05357,31,17,35,36,31,28,19,8,36,14,44,10,53,57,20,32,16,1,30
K05358,489,918,203,154,245,727,409,369,990,132,565,745,281,834,343,260,363,282,303
K05359,76,414,160,134,71,130,99,131,219,109,154,327,147,366,104,94,46,48,64
K05360,1,4,10,3,7,6,4,5,4,8,7,8,3,7,6,5,13,3,11
K05361,24,97,28,22,28,15,16,8,29,16,45,29,61,40,29,44,29,11,28
K05362,9,13,14,15,0,17,12,20,11,29,19,18,9,11,13,25,5,1,5
K05363,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
K05364,61,292,187,143,19,198,305,325,274,172,273,275,246,200,229,157,110,165,159
K05365,1775,1344,688,613,465,1071,917,3158,1427,513,1118,1829,1112,1226,1010,1381,1992,1512,1118
K05366,31997,22292,32948,27911,3471,14464,16408,28561,23946,28543,28630,36724,30269,18306,32178,26721,20265,13982,17375
K05367,589,1117,314,552,153,833,619,834,941,199,604,1135,799,1035,364,1120,906,636,1216
K05368,2,3,13,16,9,9,25,156,18,19,15,47,13,34,15,37,2,21,19
K05369,15,804,3091,1274,40,368,717,2,752,2686,609,150,1510,494,2612,935,9,0,425
K05370,14,881,3278,1220,8,336,694,0,661,2984,789,153,1717,514,2632,742,3,6,488
K05371,0,832,1244,465,7,405,627,2,644,1788,414,133,918,378,2019,397,2,0,348
K05372,4,0,0,0,1,6,4,0,1,3,1,6,1,1,9,1,4,0,2
K05373,3,113,130,346,14,192,163,212,210,100,386,32,527,36,29,338,5,153,967
K05374,0,3,0,0,3,1,0,0,0,0,0,1,0,2,0,0,0,1,0
K05375,2,46,9,5,4,52,17,15,58,4,9,85,35,28,21,7,1,33,22
K05376,0,1219,33,6,0,156,427,0,303,13,120,205,302,653,309,113,0,3,424
K05377,8,1383,2410,883,0,493,642,0,952,2363,586,213,1312,771,2352,832,8,3,776
K05378,0,2203,60,2,0,377,395,2,608,20,149,327,263,1152,371,216,1,6,441
K05379,0,2375,53,12,0,275,21,2,399,16,31,371,20,1243,36,245,0,10,254
K05380,0,858,25,2,0,84,5,0,119,9,11,123,8,441,8,65,0,4,61
K05381,0,419,7,0,2,36,3,0,54,4,4,55,0,189,2,30,0,2,52
K05382,2,619,2333,824,0,481,386,0,792,2271,355,102,993,353,2208,800,0,5,204
K05383,0,818,42,5,2,118,264,1,250,21,30,138,166,397,208,71,0,6,91
K05384,0,1765,46,2,0,215,563,0,318,20,179,250,315,855,392,110,0,4,286
K05385,0,1298,56,5,0,217,559,0,370,17,81,167,306,555,537,124,0,3,137
K05386,0,702,40,5,0,98,313,2,204,8,98,83,205,333,296,78,0,6,154
K05387,1,2,3,10,0,6,4,3,4,1,1,0,2,1,5,2,2,0,1
K05389,218,298,209,170,166,200,160,21,305,94,255,395,346,565,126,158,94,20,107
K05391,8,6,14,9,4,18,5,0,13,14,6,9,13,12,8,7,3,0,1
K05396,955,1211,540,395,438,827,663,915,1000,364,713,775,650,964,486,744,864,770,558
K05397,0,2,0,4,0,3,2,1,2,0,17,0,1,14,3,1,12,0,5
K05398,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K05399,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0
K05402,0,0,0,0,1,1,3,0,0,0,5,0,0,2,0,2,1,0,0
K05404,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
K05410,10,4,6,3,0,3,3,1,4,3,11,1,1,16,3,2,14,4,2
K05414,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K05460,11,33,8,20,18,17,16,4,23,7,38,27,30,23,5,35,16,7,19
K05462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
K05463,0,3,2,7,0,2,2,0,0,0,18,4,2,13,2,4,21,3,7
K05464,13,8,3,2,2,8,6,5,8,1,6,8,13,5,2,8,16,8,7
K05465,0,2,0,0,0,2,1,2,1,1,0,0,1,0,2,2,0,0,0
K05466,11,7,4,3,4,8,3,1,4,2,3,5,3,4,1,2,13,2,8
K05467,2,6,1,2,4,7,6,1,1,3,0,7,4,5,3,3,3,0,3
K05496,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
K05497,0,2,0,0,0,0,0,0,1,0,0,1,2,4,0,1,0,0,1
K05499,72,140,77,73,29,114,63,258,124,73,77,131,65,146,69,77,55,82,95
K05501,1196,708,335,314,307,558,272,672,739,366,360,873,370,669,605,394,783,332,338
K05502,6,2,2,0,0,6,7,3,6,5,3,14,3,4,7,0,9,2,3
K05504,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
K05515,26648,15987,27747,24147,2160,12105,14055,25407,21457,25054,23925,27979,28105,12028,28920,27666,17816,11508,15498
K05516,506,2418,1537,1232,310,1325,2018,1343,1740,1877,1515,1405,1820,1759,2283,1745,527,1044,1592
K05517,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0
K05520,260,974,466,680,282,968,904,1274,1173,379,932,874,1044,892,629,1057,469,905,1513
K05521,264,324,284,230,124,341,337,417,408,278,349,357,302,324,292,363,190,376,222
K05522,484,2117,1141,726,514,1425,848,460,1788,859,2100,1041,1564,1541,1524,1601,305,378,800
K05523,43,186,13,14,27,50,53,36,75,9,44,72,64,123,14,11,47,47,23
K05524,5100,5104,4655,4247,610,3985,3767,5792,5455,5056,6348,7986,5640,3660,6341,6256,3711,3303,3740
K05525,1071,1505,706,518,315,1222,700,1204,1409,574,705,1033,645,1003,851,895,1009,774,553
K05526,161,21,36,40,34,42,40,221,44,37,51,70,34,58,69,129,72,54,46
K05527,2986,1543,1918.5,1667,270,1196.5,1238.5,2859,1560,2192.5,1607.5,2925.5,1790,1152,2143,1777,1876,1208.5,1116.5
K05528,16,34,38,15,12,31,25,8,29,25,9,27,38,25,23,23,29,15,16
K05529,26,41,10,5,17,16,9,4,34,7,12,11,10,51,9,3,14,1,2
K05530,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
K05531,1,12,2,1,10,17,8,3,10,1,2,14,3,8,4,4,1,0,0
K05533,1,0,0,0,0,1,2,0,0,3,0,0,0,0,0,2,0,0,0
K05534,1,14,5,2,4,6,3,1,5,2,4,6,2,13,0,2,1,0,0
K05535,107,403,52,33,90,165,48,16,226,23,61,447,70,491,60,32,38,5,21
K05536,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2
K05538,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
K05539,12019,8450,14811,12712,1461,6452,6195,11060,11840,13334,11038,13434,14476,6467,14925,13626,7458,4494,6273
K05540,5570,7425,4586,4158,1553,4466,4805,8190,5922,4456,6086,6296,5905,5821,4605,5980,5745,5287,5384
K05541,359,931,119,133,210,309,234,491,422,91,320,670,346,664,159,219,300,280,324
K05542,616,926,587,526,982,516,492,87,826,199,1258,812,1436,1423,324,458,351,86,710
K05543,150,300,91,71,184,93,75,17,140,46,225,147,242,215,57,77,92,18,102
K05544,398,1998,277,297,552,563,305,87,943,119,723,1322,765,1759,180,318,243,89,423
K05545,22,31,25,19,8,18,21,12,39,7,24,26,19,21,12,7,26,3,18
K05546,563,1433,489,437,696,600,367,73,902,205,1145,1169,1201,1612,304,498,469,79,553
K05547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
K05548,48,48,37,38,12,50,41,29,50,34,64,41,19,33,49,39,37,24,34
K05549,263,698,383,116,154,644,434,918,746,325,366,530,169,792,318,206,307,609,218
K05550,17,116,65,14,35,98,61,190,103,52,47,91,26,127,37,34,27,101,32
K05551,30,22,13,43,34,20,9,16,13,7,49,41,31,48,15,75,21,9,29
K05552,0,8,0,2,0,1,6,2,4,0,0,9,12,6,0,2,1,4,8
K05555,85,406,115,88,74,423,374,539,332,94,204,262,97,337,105,163,148,514,161
K05556,29,75,53,79,11,29,54,41,35,39,71,22,83,58,22,167,23,60,64
K05557,7,164,4,2,24,52,42,114,55,14,21,65,7,54,22,4,30,116,11
K05558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
K05559,68,705,362,1077,257,683,518,1240,890,270,1116,774,1854,371,71,855,26,848.5,2933
K05560,14,69,49,127,42,81,53,128,72,36,110,95,187,42,3,112,0,90,318
K05561,63,354,191,483,122,325,269,604,373,123,623,356,862,147,43,510,7,384,1388
K05562,14,138,71,199,37,121,73,210,136,43,191,133,315,65,15,125,2,134,495
K05563,9,61,25,86,14,53,40,111,58,18,73,56,121,33,7,66,0,74,220
K05564,18,91,27,75,23,83,71,151,78,22,117,64,195,49,3,75,2,96,281
K05565,19,132,52,29,43,67,24,368,61,35,28,32,31,83,38,15,16,293,25
K05566,1125,1821,1190,1247,375,1378,807,1423,1997,795,1023,1381,1051,1921,1215,2304,754,1225,912
K05567,561,855,530,524,184,669,396,758,883,383,474,646,454,778,609,964,388,625,407
K05568,5386,9751,5911,6600,1823,6728,3974,8430,10430,4147,5890,7018,5325,9500,6457,11153,4252,7592,5026
K05569,349,643,416,505,115,538,329,602,739,364,353,444,334,553,477,859,276,556,257
K05570,272,592,359,387,88,451,216,469,572,231,262,385,251,533,395,639,276,374,201
K05571,359,540,332,356,105,473,279,441,613,267,250,411,282,519,396,566,241,382,227
K05572,8,1510,5207,3803,13,1114,1418,60,2125,4575,3035,244,5422,813,4938,6325,15,51,2930
K05573,1,2064,7194,4738,8,792,2064,77,1890,6349,4224,310,7722,1031,6823,4499,24,73,2826
K05574,9,507,1792,1326,3,426,589,63,800,1788,939,87,1858,280,1942,1314,20,64,658
K05575,26,6327,15182,10433,20,3482,3937,164,7044,13183,8450,994,15762,3208,14450,13395,86,152,7424
K05576,6,617,1580,1134,12,290,577,278,577,1501,791,131,1359,369,1496,1034,26,266,492
K05577,111,5366,10177,7218,92,2428,2934,341,5291,8938,6011,930,11201,2882,9513,9691,214,253,6826
K05578,4,722,2582,1723,0,365,644,23,690,2167,946,93,2168,361,2358,1686,12,34,458
K05579,10,1719,5273,3607,5,822,1586,148,1631,4633,3043,263,5698,987,4894,3166,58,180,2721
K05580,1,767,2920,5224,4,465,1420,20,907,2745,3033,119,7309,450,3356,5525,19,9,2802
K05581,8,729,2453,1450,11,509,755,65,933,2661,887,153,1875,408,2535,1304,19,54,600
K05582,6,1003,3396,2140,7,699,881,18,1427,2917,1837,141,3556,469,3238,2246,13,12,2021
K05583,0,307,792,478,0,598,316,0,709,1081,425,50,627,178,830,1681,0,0,865
K05584,0,476,1800,1174,1,353,591,0,757,2025,818,57,1494,231,1818,1073,1,0,734
K05585,0,775,2771,1579,0,974,864,1,1357,3027,1326,85,2316,360,2631,2957,0,3,1713
K05586,0,5,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
K05587,2,21,6,2,15,15,20,78,19,1,8,21,4,17,4,1,19,94,4
K05588,0,21,2,0,3,8,10,7,14,3,4,4,0,8,2,0,2,11,1
K05589,649,295,52,26,86,165,98,748,193,54,58,289,60,179,79,38,652,358,87
K05590,345,179,48,62,119,75,77,408,146,41,122,208,118,165,64,105,153,179,114
K05591,2822,1829,295,350,818,1066,422,1679,1413,201,601,2166,707,1701,842,543,1991,1098,515
K05592,14924,14583,9990,6969,3221,7959,6014,17786,12566,8976,8134,15232,10280,10928,13920,7053,14051,10756,7829
K05593,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
K05595,7037,1335,631,1038,326,833,820,4010,1080,522,1309,5385,1305,1346,569,1263,4232,1559,1758
K05596,25,39,37,79,36,27,40,273,37,18,94,64,58,66,17,89,11,87,156
K05597,2,5,3,0,0,5,3,22,8,3,3,16,1,1,10,1,10,26,0
K05599,11,15,13,9,4,26,27,30,28,5,23,44,25,22,21,17,9,41,8
K05600,2,9,5,0,2,12,8,12,7,4,0,8,0,20,1,0,1,10,4
K05601,0,7,2,1,0,4,34,4,1,1,3,1,2,0,1,0,0,0,1
K05602,108,309,141,86,69,194,252,474,253,122,210,226,148,315,98,167,163,356,151
K05603,2460,2069,829,411,636,972,911,2097,1255,536,959,1189,782,1688,474,656,2704,1440,983
K05604,26,81,29,29,9,52,56,79,36,27,61,66,53,66,20,39,20,52,41
K05605,393,647,634,580,191,490,493,486,701,500,728,734,695,445,642,687,298,280,438
K05606,1906,2851,1606,1650,556,1813,2182,4189,2509,1477,2612,2797,2294,2080,1652,2325,2211,3172,1957
K05607,135,387,232,192,80,365,347,430,367,217,307,258,267,347,232,292,211,336,301
K05609,112,307,126,65,119,144,93,22,197,41,186,241,174,360,79,98,79,22,117
K05610,186,502,107,155,177,170,110,17,304,49,344,401,316,507,85,117,116,28,164
K05611,0,0,1,0,0,2,1,0,0,2,1,0,0,4,1,0,1,2,0
K05612,29,116,47,22,26,77,107,223,91,28,90,112,63,115,42,46,86,190,62
K05613,271,335,160,165,96,181,242,309,261,123,316,320,200,201,193,164,242,232,149
K05614,78,148,61,74,20,119,168,223,211,59,115,174,142,158,104,104,95,143,108
K05615,0,2,0,1,0,2,0,0,0,1,0,0,0,1,1,1,1,0,0
K05616,2,21,11,4,5,11,16,18,19,0,14,10,17,25,12,9,5,15,14
K05617,1,8,9,8,8,5,14,39,7,5,11,3,7,5,6,14,12,26,10
K05618,58,21,21,27,8,26,14,40,13,25,31,38,19,15,22,38,22,36,12
K05619,29,20,23,36,12,14,5,3,14,10,31,14,29,21,4,27,22,7,16
K05620,0,0,3,6,0,4,0,1,2,3,3,0,1,4,1,3,1,2,4
K05621,1,6,4,4,1,4,0,3,4,1,5,4,3,2,5,2,2,2,4
K05622,0,0,4,0,0,0,2,0,3,2,0,3,5,2,2,2,0,0,2
K05624,17,10,12,2,8,8,8,2,11,8,5,26,4,7,8,11,22,6,3
K05625,1,12,5,2,0,3,0,0,3,1,3,2,2,4,3,2,1,3,3
K05627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05628,1,1,4,0,0,1,4,0,2,1,14,0,0,2,0,0,2,1,1
K05629,3,0,3,0,0,0,0,0,0,5,4,0,2,3,1,0,5,0,2
K05630,10,2,4,4,1,4,5,2,7,0,9,2,3,3,4,12,4,0,1
K05631,2,3,1,1,3,9,6,0,2,3,14,7,1,16,2,2,14,4,8
K05632,2,7,6,1,19,9,3,4,5,3,7,5,2,8,1,6,12,0,8
K05633,23,34,31,4,16,14,21,8,30,11,36,19,28,29,13,14,34,10,22
K05635,5,4,0,0,0,6,3,4,5,3,17,3,6,14,8,0,15,2,11
K05636,1,4,5,0,1,2,3,4,3,1,13,3,7,21,2,1,18,1,6
K05637,44,16,28,21,4,32,9,9,22,23,41,36,36,28,16,25,64,13,18
K05638,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2
K05639,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
K05641,274,2877,168,112,341,502,131,34,915,75,164,1530,215,1517,124,115,238,48,100
K05642,53,30,75,51,42,45,46,26,100,31,51,22,68,76,36,44,56,13,39
K05643,2064,3036,1782,1176,2122,1863,1278,461,2823,779,2962,2287,2958,3965,1036,1217,1693,420,1628
K05644,32,28,26,26,16,19,16,3,23,8,33,26,36,51,16,21,33,22,26
K05645,33,43,117,126,91,56,36,10,78,37,143,64,243,125,54,100,43,13,119
K05646,5,1,8,1,4,3,2,1,3,4,2,4,11,6,6,6,11,3,2
K05647,7,14,2,4,7,16,13,2,7,4,33,9,21,12,4,1,2,2,17
K05648,113,84,176,112,90,98,72,45,131,58,120,75,152,156,67,115,138,40,94
K05649,0,1,1,0,1,0,0,1,2,0,2,0,3,2,0,0,1,0,1
K05650,14,7,10,5,0,3,4,2,9,1,14,3,15,5,4,5,6,3,4
K05651,2,2,2,2,0,2,0,1,6,3,1,0,6,13,2,1,1,0,0
K05653,2,17,9,3,1,13,8,5,7,12,12,22,22,5,3,8,7,11,14
K05654,17,22,25,19,11,19,6,8,14,20,25,19,27,32,22,21,6,12,27
K05655,74,170,141,123,49,78,89,126,145,77,204,132,165,162,98,186,98,70,110
K05656,269,874,249,182,342,248,224,83,371,95,459,337,510,575,157,205,204,95,297
K05657,355,893,365,303,346,312,228,219,447,177,468,383,549,533,231,330,244,162,273
K05658,2198,4207,2736,2499,1984,2257,1767,1391,3550,1447,3972,3265,4380,4566,1867,2769,1752,1089,2450
K05659,19,3,20,17,12,13,9,11,17,9,9,6,8,15,15,12,11,1,22
K05660,28,17,32,13,2,12,17,6,27,8,29,16,28,24,28,15,18,19,20
K05661,153,174,134,90,113,106,96,145,185,78,190,193,154,249,141,123,133,108,95
K05662,170,233,212,195,124,122,141,114,245,112,319,196,350,288,140,205,143,102,166
K05663,231,1275,292,236,191,345,164,232,662,156,326,977,362,1090,170,238,169,131,163
K05664,4,15,19,10,19,9,9,6,22,23,21,9,14,24,3,11,12,16,24
K05665,1421,2220,1288,837,1302,1292,889,267,1974,568,1838,1712,1799,2678,732,881,1132,271,1030
K05666,1162,1981,921,554,1184,906,595,168,1340,379,1284,1268,1292,1929,513,675,760,193,764
K05667,95,51,97,79,45,78,55,27,93,46,111,43,113,124,48,78,86,39,79
K05668,255,151,226,165,154,172,110,60,234,115,197,110,275,237,127,156,181,61,126
K05669,14,12,20,12,17,17,12,5,25,6,18,13,21,35,12,19,14,3,11
K05670,49,17,37,28,18,22,14,7,28,23,22,25,48,30,22,34,34,13,21
K05671,9,0,15,7,3,6,5,2,7,5,8,5,5,1,10,10,13,5,4
K05672,61,20,54,27,26,45,29,19,58,25,55,42,63,59,41,35,48,26,23
K05673,854,573,791,442,679,545,411,235,738,386,739,448,859,991,399,479,696,179,424
K05674,275,197,365,225,286,184,167,65,324,141,312,148,350,339,159,197,248,81,210
K05675,14,4,8,0,1,5,1,5,5,3,7,7,4,4,4,3,5,8,6
K05676,55,20,69,17,40,39,36,19,48,42,40,27,22,52,28,28,52,29,25
K05677,276,796,201,71,154,285,158,72,456,117,201,638,188,688,146,109,217,91,102
K05678,11,38,12,11,12,20,16,5,29,12,19,15,17,22,11,11,23,2,11
K05679,70,65,60,61,35,72,42,14,79,28,82,35,110,94,48,61,59,20,71
K05680,5,11,15,3,8,4,5,0,12,3,6,2,12,8,5,5,3,4,2
K05681,798,3227,758,477,1050,1115,618,111,1728,317,1215,2322,1190,2880,474,565,552,129,582
K05682,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K05683,8,9,7,5,11,5,3,0,9,6,9,3,13,8,3,3,3,1,3
K05684,31,45,21,27,27,32,29,4,43,12,29,19,35,42,14,24,18,2,17
K05685,88,697,218,168,94,398,448,1034,457,165,304,631,495,388,295,238,201,776,368
K05687,6,9,10,6,7,8,5,25,8,6,8,6,7,5,9,6,6,26,3
K05688,27,6,13,0,10,12,13,6,17,9,10,5,4,16,4,0,11,20,7
K05689,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
K05690,0,0,0,0,0,3,0,0,0,0,7,0,0,6,0,0,2,0,1
K05691,3,6,4,3,0,5,3,2,4,0,25,23,2,40,3,4,32,5,10
K05692,2431,1111,1254,993,1384,1119,786,467,1585,515,1959,1096,1665,2302,719,1311,1999,610,1265
K05693,3,0,0,0,0,0,3,1,0,0,0,3,0,2,0,0,0,0,0
K05694,23,18,9,2,4,20,5,8,7,3,28,31,27,36,4,12,44,1,4
K05695,13,9,29,11,9,17,14,11,19,8,24,19,13,30,9,8,37,5,14
K05696,2,1,4,0,2,2,2,2,1,0,5,3,3,5,0,1,3,0,0
K05697,2,0,4,2,0,3,0,0,1,1,0,0,2,0,0,0,0,1,0
K05698,4,0,2,0,5,2,0,0,2,5,0,3,0,2,1,0,1,0,1
K05699,58,52,48,51,76,53,49,10,73,16,111,48,99,118,31,41,34,19,46
K05700,0,4,3,0,0,7,0,2,3,2,15,6,8,16,0,0,8,9,2
K05701,2,4,4,0,0,7,3,1,0,0,17,8,8,11,2,0,7,3,1
K05702,0,1,3,0,0,4,1,1,2,2,21,5,6,17,3,0,7,5,3
K05703,7,8,2,3,7,4,1,5,6,2,0,9,8,2,0,2,11,3,2
K05704,17,3,20,6,11,19,9,2,18,8,11,30,16,13,8,10,15,10,5
K05705,4,1,3,4,8,5,3,2,4,3,10,7,12,7,4,3,5,4,2
K05707,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
K05708,305,632,281,74,111,346,495,680,430,290,326,472,218,421,275,136,305,521,179
K05709,0,18,11,0,7,16,9,42,15,8,5,9,1,31,1,0,5,31,0
K05710,496,1078,511,343,141,679,1005,3560,824,459,750,1371,576,965,598,464,969,2161,381
K05711,5,21,2,4,10,12,21,36,20,4,14,38,3,25,4,14,19,27,9
K05712,2071,4033,4052,3049,760,3233,1769,2385,4491,3544,2585,3171,2844,3227,3783,4254,1639,1957,3373
K05713,222,694,64,0,130,258,359,531,385,16,282,335,93,476,42,3,316,393,185
K05714,29,103,45,17,17,96,47,118,60,65,33,43,20,43,56,23,17,121,30
K05715,58,146,114,51,26,167,201,318,140,116,117,108,108,135,98,68,87,227,118
K05717,0,5,1,0,0,0,1,0,0,0,2,0,1,1,1,1,6,0,0
K05718,0,1,1,2,0,2,1,1,2,1,0,2,0,2,0,1,0,1,4
K05719,0,5,11,5,0,8,3,2,5,1,27,7,4,14,1,3,19,4,16
K05720,0,2,3,4,1,2,2,0,6,1,6,4,1,6,0,0,4,4,2
K05721,25,13,6,3,2,5,1,2,8,1,2,4,12,6,0,1,3,0,6
K05722,6,1,0,5,4,1,2,1,0,4,3,0,8,5,0,0,3,2,1
K05723,24,8,19,5,5,17,12,10,6,7,17,11,7,19,8,6,9,3,15
K05724,93,50,100,71,74,100,74,31,103,74,115,62,108,119,61,53,68,30,61
K05725,20,7,15,2,21,20,12,2,22,1,13,27,5,26,6,1,23,3,3
K05726,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
K05727,2,1,7,0,5,9,4,2,2,9,11,4,5,17,6,2,11,1,2
K05728,25,13,38,19,19,29,17,11,29,15,23,29,26,27,15,20,21,4,12
K05729,3,3,1,0,1,1,1,0,6,0,0,0,3,2,0,5,1,1,0
K05730,2,4,4,2,2,10,5,0,2,2,8,6,10,15,1,4,13,4,3
K05731,1,1,2,1,0,6,5,1,2,0,21,2,5,11,0,0,5,5,1
K05732,0,0,1,0,0,3,1,0,2,0,9,1,2,3,0,0,5,0,2
K05733,3,0,2,0,0,1,1,0,0,0,0,0,0,5,3,0,0,0,1
K05734,2,0,0,1,3,1,0,1,0,0,0,0,1,7,0,0,0,1,2
K05735,0,2,2,2,4,1,1,0,0,0,1,0,0,4,1,1,0,1,0
K05736,4,3,1,2,1,5,2,1,4,1,13,3,9,11,7,4,7,2,0
K05737,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0
K05738,2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,3,1,1
K05740,34,28,44,50,37,37,27,7,37,29,58,22,85,51,37,30,16,8,20
K05741,2,1,7,4,6,6,6,2,9,3,8,4,9,20,6,6,27,2,7
K05742,1,0,2,0,0,3,0,1,1,1,1,1,5,1,0,0,0,3,0
K05743,55,16,44,20,17,28,26,15,49,23,33,23,30,35,15,18,50,11,16
K05744,2,1,0,0,4,4,1,0,0,1,4,2,4,2,0,0,1,0,2
K05745,3,0,2,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0
K05746,2,0,0,0,0,0,0,0,0,0,4,4,5,2,0,0,8,6,1
K05747,26,165,32,20,65,31,28,9,68,15,62,55,59,74,17,25,21,4,31
K05748,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
