KO,G34369,G34415,G34450,G34481,G34510,G34569,G34647,G34393,G34421,G34458,G34499,G34524,G37547,G34402,G34430,G34473,G34500,G34533,G34621
K11958,5,374,80,70,11,102,142,197,187,71,373,185,236,174,89,125,29,91,129
K11959,565,4204,8495,5429,244,4106,2043,3562,7201,6992,3422,1799,7222,1876,8924,7135,864,2206,3984
K11960,219,3033,6789,4375,186,2869,1430,2651,4776,5485,2479,1127,5682,1342,7381,5329,377,1749,3052
K11961,225,2907,6200,3794,208,2242,1237,2375,3892,4711,1951,957,4701,1418,6752,4391,394,1597,2117
K11962,198,2171,4216,2461,166,1506,902,1901,2609,3341,1225,780,2867,1061,4382,2524,369,1438,1285
K11963,250,1989,3943,2543,149,1568,1011,1812,2543,3476,1398,752,2982,1063,4033,2408,351,1368,1422
K11964,27,84,18,14,112,81,44,6,63,5,256,61,276,216,25,20,45,0,108
K11967,34,28,23,15,6,16,14,8,32,9,21,19,23,18,11,18,36,8,6
K11968,446,1004,358,279,452,444,277,77,679,149,659,731,634,1041,199,295,333,85,387
K11969,10,5,10,5,1,8,6,2,4,3,12,7,11,19,2,3,16,1,10
K11970,3,2,2,1,0,1,4,0,1,0,2,2,2,5,2,0,2,0,0
K11971,75,377,88,70,93,72,55,23,98,48,116,110,148,169,48,77,70,12,62
K11972,10,16,19,9,8,26,12,9,27,9,56,9,43,46,19,17,29,5,14
K11973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0
K11974,1,5,2,0,0,5,2,0,1,0,7,1,4,5,1,1,12,1,4
K11975,37,36,51,50,54,44,28,14,30,23,66,32,76,64,18,48,38,5,50
K11976,38,34,22,12,52,36,29,15,53,12,59,34,45,66,25,19,67,12,43
K11977,1,4,6,5,1,6,3,1,1,0,0,8,5,3,3,0,3,0,0
K11978,42,990,73,40,124,117,49,9,179,32,91,241,122,187,31,54,62,21,65
K11979,3,1,3,0,0,2,2,2,3,1,10,3,0,3,2,2,5,0,4
K11980,4,12,13,28,16,12,10,4,8,6,28,7,22,19,13,30,27,0,15
K11981,27,17,26,5,19,26,22,8,14,16,26,13,24,28,15,9,57,7,24
K11982,322,587,197,126,173,319,146,167,395,161,231,640,217,787,140,197,314,102,185
K11983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
K11984,99,681,75,85,152,203,109,6,318,25,199,574,209,761,50,73,49,8,88
K11985,24,35,16,11,16,17,13,8,21,14,17,34,25,45,14,8,27,1,18
K11986,32,93,29,28,36,38,23,2,35,20,36,47,43,75,13,19,15,8,23
K11987,11,25,1,0,15,2,4,6,5,0,9,3,5,14,2,0,2,3,7
K11988,1,1,3,0,2,0,1,0,0,0,0,0,0,0,2,0,2,0,0
K11989,0,0,3,1,0,0,2,0,4,0,1,0,0,1,0,1,0,0,0
K11990,5,10,2,16,0,4,6,1,6,7,0,9,25,7,13,16,2,1,6
K11991,3816.5,5271.5,4896.5,3948,784,3648.5,3291,3987.5,5087.5,4530.5,4997.5,4557,5188,4342.5,5413.5,4408,3247,2604,3896.5
K11992,39,14,25,13,9,19,23,4,13,11,47,31,40,46,23,37,20,3,15
K11993,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0
K11994,15,51,46,48,37,49,36,18,34,52,57,46,92,38,26,133,23,24,16
K11995,10,18,7,8,7,28,11,9,13,12,24,16,28,17,7,22,7,9,19
K11996,248,739,292,354,109,301,245,209,564,284,446,643,514,726,349,352,187,147,271
K11997,121,293,75,56,91,185,298,1153,168,82,146,197,87,253,63,120,251,1235,67
K11998,5,0,1,4,2,4,5,0,4,1,2,1,5,3,0,0,0,0,1
K11999,3,1,5,3,8,5,0,3,0,1,0,2,2,4,1,0,3,0,1
K12000,0,0,3,4,1,1,0,1,0,2,1,0,0,0,2,0,3,0,1
K12001,1,0,9,2,0,3,2,0,2,5,0,2,1,5,4,1,0,1,4
K12002,0,0,0,1,0,0,2,0,1,0,4,0,0,3,0,0,2,0,0
K12003,0,0,2,1,0,1,0,0,0,0,0,0,2,1,1,4,0,0,0
K12005,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
K12006,3,23,5,2,0,17,1,1,20,4,2,3,1,30,9,1,2,1,0
K12007,0,0,2,0,0,1,0,0,4,0,2,0,2,0,0,1,0,0,0
K12008,4,4,9,0,3,6,4,0,3,1,4,5,2,17,3,1,1,0,0
K12009,13,9,10,7,8,5,7,2,9,3,17,8,22,6,4,11,7,0,18
K12011,0,0,1,1,1,0,1,1,0,0,1,2,1,3,0,1,4,0,2
K12012,0,7,1,2,1,5,5,3,5,3,3,8,4,6,3,5,3,1,3
K12013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
K12014,0,1,2,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
K12015,39,41,66,37,31,43,50,15,53,29,46,42,44,52,24,16,54,8,40
K12016,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
K12017,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
K12018,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
K12019,3,8,0,2,4,3,1,0,0,1,0,0,6,0,0,0,0,0,2
K12021,0,0,7,3,1,8,3,1,1,7,2,3,6,2,3,5,2,5,0
K12023,52,14,6,3,41,9,4,0,15,5,6,20,7,13,2,1,19,0,6
K12024,2,2,2,1,5,2,3,1,3,1,0,0,1,4,1,2,7,3,3
K12025,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
K12026,2,9,11,2,8,11,7,11,13,6,5,6,11,21,9,7,8,14,3
K12027,0,1,2,0,0,0,1,1,0,1,1,1,0,3,1,0,1,2,0
K12028,3,0,3,2,0,1,3,0,2,0,2,0,2,2,0,0,2,0,0
K12029,0,0,0,0,0,0,1,0,1,0,3,1,1,0,2,1,0,0,1
K12030,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0
K12031,16,7,28,1,14,15,7,3,10,8,7,7,1,26,9,5,7,3,7
K12032,4,4,2,4,3,2,1,2,2,0,2,5,5,4,1,0,3,0,0
K12033,1,1,1,4,1,0,1,0,0,0,2,1,0,4,0,0,2,0,0
K12034,1,2,0,0,0,2,0,0,3,2,11,1,9,7,3,1,0,0,4
K12035,75,128,39,35,104,104,124,392,109,34,104,116,87,115,40,95,110,402,74
K12036,1,0,1,0,0,1,4,2,1,2,6,0,3,1,1,5,0,1,0
K12037,3,1,1,3,0,3,1,1,4,2,6,0,6,4,1,2,3,3,0
K12040,5,6,6,8,0,9,4,0,1,5,32,2,6,19,3,4,25,1,7
K12041,89,717,52,28,128,204,57,10,318,41,59,476,65,537,42,26,77,11,21
K12042,21,13,28,14,12,23,18,2,22,20,32,15,62,23,17,35,12,7,13
K12045,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,2
K12046,0,2,0,0,0,6,0,0,1,1,11,1,5,14,3,0,16,2,2
K12047,13,1,8,5,8,5,3,3,6,1,2,1,2,18,0,1,16,4,4
K12055,0,0,0,4,0,0,0,0,0,0,2,0,6,0,0,2,2,0,0
K12056,265,72,6,66,59,95,96,161,44,28,89,146,81,123,9,64,354,147,294
K12057,96,25,7,14,10,26,22,45,29,10,30,37,30,43,6,16,81,43,99
K12058,197,59,10,67,68,43,62,173,51,19,72,119,35,117,8,74,141,122,215
K12059,54,11,2,8,4,15,14,29,15,2,15,31,8,18,1,11,106,46,68
K12060,98,40,19,14,17,41,45,71,30,14,40,87,18,58,12,31,139,68,145
K12061,63,17,2,13,26,25,30,50,23,8,26,46,14,49,3,26,74,45,73
K12062,56,21,2,2,12,22,19,37,3,1,19,25,12,18,0,8,51,20,59
K12063,305,82,34,50,46,85,97,173,77,26,86,189,63,118,10,83,310,180,368
K12064,41,17,4,2,1,14,11,17,4,3,10,24,9,24,2,8,62,25,49
K12065,117,59,14,24,5,49,40,73,32,8,37,69,23,61,17,33,151,65,142
K12066,131,25,6,9,10,17,26,62,19,6,51,52,18,52,3,30,111,36,78
K12067,67,25,6,22,2,19,25,43,19,3,23,34,7,18,1,15,46,41,94
K12068,46,19,3,12,8,13,15,25,11,1,16,39,7,32,0,4,41,21,43
K12069,14,2,0,7,2,7,9,13,1,1,9,2,4,6,0,5,21,5,10
K12070,3,2,0,13,6,2,34,51,0,11,40,19,8,21,0,34,0,32,20
K12071,3,9,8,19,14,2,27,51,4,13,36,23,8,39,2,52,2,41,19
K12072,214,52,16,35,14,32,47,104,54,11,53,86,54,69,9,50,181,71,184
K12073,0,375,2025,788,1,266,406,8,467,1910,420,57,863,199,1800,458,0,2,310
K12074,0,0,0,0,0,3,0,0,0,3,2,0,4,4,1,0,7,2,2
K12075,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,2,0,0
K12076,5,4,3,3,0,11,6,6,7,3,25,8,7,8,1,4,12,3,12
K12077,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,1,2,0,2
K12111,21,23,22,14,3,12,38,34,8,6,36,16,25,13,7,9,8,17,17
K12113,0,0,0,0,0,0,0,0,5,1,2,0,0,0,2,0,0,0,2
K12114,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
K12115,17,263,6,2,38,31,9,6,50,2,5,89,5,87,5,6,6,1,1
K12116,0,4,2,5,1,2,1,3,3,2,2,4,2,5,1,4,1,0,2
K12117,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
K12118,17,22,7,11,2,13,7,17,22,4,11,44,26,10,8,10,12,8,18
K12119,9,4,17,21,6,12,29,9,27,23,32,31,26,40,10,25,1,5,30
K12120,16,11,10,12,7,12,15,6,17,21,24,14,38,18,17,18,14,0,6
K12121,114,82,86,44,74,93,84,26,69,44,125,52,104,156,47,81,59,24,81
K12122,0,2,1,1,6,1,0,0,2,0,0,2,3,1,0,2,0,3,0
K12123,123,59,108,91,139,95,109,70,138,57,197,132,255,205,45,89,88,81,132
K12124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12127,1,1,6,0,1,3,1,1,2,4,0,0,0,0,1,2,0,0,0
K12128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K12129,50,414,1,2,31,119,28,0,201,1,4,370,0,466,16,7,16,1,0
K12130,0,4,7,4,2,2,1,0,3,0,16,2,10,11,5,6,5,3,5
K12131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
K12132,1625,12432,3833,5564,2117,8673,11802,10974,9421,3504,7555,6336,10142,9630,3889,10585,2962,10004,14647
K12133,112,385,49,11,115,172,87,8,245,30,101,406,70,533,39,19,99,7,44
K12134,0,6,1,0,2,6,3,0,9,0,3,11,2,12,0,0,1,0,3
K12135,0,0,2,0,1,0,1,0,1,0,2,1,0,0,1,0,1,0,0
K12136,5,11,5,0,0,10,3,5,6,2,2,5,2,12,8,0,1,11,3
K12137,0,20,6,2,0,16,16,26,13,5,27,11,18,6,1,1,1,26,10
K12138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K12139,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
K12140,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
K12141,0,0,5,0,0,2,3,5,1,6,3,0,3,2,0,0,4,1,0
K12146,14,34,11,19,7,21,12,29,33,12,29,13,27,19,10,47,11,20,57
K12151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
K12152,149,98,45,16,53,103,52,90,85,40,25,88,32,75,50,16,85,50,26
K12153,0,6,0,0,1,1,1,0,4,0,1,10,0,10,0,0,1,0,0
K12156,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
K12158,110,158,76,60,85,118,70,49,123,39,111,110,124,190,50,71,89,44,73
K12160,231,189,135,127,280,161,168,22,201,71,321,175,322,339,104,127,167,30,175
K12161,1,0,1,0,1,0,2,1,0,1,7,0,7,3,0,1,3,0,0
K12162,13,37,31,23,10,18,21,7,25,5,35,19,36,11,20,21,15,8,27
K12163,12,14,16,3,9,24,11,20,11,27,14,24,7,18,11,10,17,10,7
K12164,99,251,106,113,120,69,71,33,152,38,191,90,237,182,44,124,75,16,149
K12165,67,158,61,65,60,40,31,25,68,23,69,64,88,90,29,43,42,13,52
K12166,266,121,148,109,188,98,91,18,161,37,233,110,391,221,69,124,178,25,146
K12167,10,2,4,2,4,6,3,0,2,0,6,4,4,2,6,2,5,1,1
K12168,23,3,22,8,5,13,8,5,9,9,26,4,17,11,12,10,13,0,5
K12169,90,741,74,60,125,90,34,9,146,47,73,154,106,150,43,35,41,25,46
K12170,3,0,2,5,3,2,1,2,1,3,0,4,11,2,2,4,9,0,2
K12171,1,1,5,1,3,6,3,0,1,1,0,1,4,7,2,2,4,0,0
K12172,29,20,26,24,23,15,25,11,19,6,52,22,49,33,12,26,36,7,30
K12173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12174,7,159,1,0,11,9,1,0,32,0,1,24,0,8,3,2,0,0,0
K12175,81,505,102,115,115,148,54,6,329,57,194,417,177,466,52,95,75,25,83
K12176,182,421,150,123,156,181,132,23,344,57,252,463,281,584,96,115,118,40,171
K12177,45,206,47,31,59,49,16,5,63,8,75,55,89,75,14,18,32,2,30
K12178,131,485,88,99,156,143,76,17,235,40,245,311,299,441,64,86,55,11,102
K12179,28,192,57,26,60,41,26,12,50,15,78,49,120,81,31,38,24,5,46
K12180,57,251,45,30,115,84,38,3,119,20,97,190,102,227,25,35,40,8,46
K12181,5,101,8,7,14,8,7,1,10,3,6,17,12,16,0,8,4,2,10
K12182,75,40,96,32,42,58,40,24,60,36,69,44,83,60,49,48,68,11,53
K12183,278,434,225,171,228,239,189,58,275,114,337,265,411,451,117,153,148,41,185
K12184,49,102,25,5,61,21,24,6,47,10,94,36,74,65,13,20,35,1,40
K12185,4,117,1,0,11,11,1,1,14,0,3,24,0,12,0,0,2,0,0
K12188,53,196,19,18,81,34,37,9,45,19,102,36,55,106,26,16,48,10,30
K12189,24,83,25,7,12,12,17,2,16,5,16,8,17,7,7,9,8,3,5
K12190,23,299,31,4,44,48,13,7,51,14,30,47,33,59,17,8,18,9,20
K12191,79,180,67,61,108,69,62,12,157,30,178,163,178,267,43,46,66,3,90
K12192,13,8,6,3,4,6,5,0,5,1,2,7,1,12,1,2,7,3,4
K12193,40,219,31,27,104,74,59,4,130,12,101,200,92,244,37,29,25,13,51
K12194,142,250,19,11,125,88,44,8,107,9,78,194,76,245,20,13,53,5,47
K12195,3,70,3,2,14,7,5,0,9,9,4,7,1,13,2,0,3,3,5
K12196,410,986,285,193,382,336,415,769,622,157,634,751,566,939,212,253,460,513,347
K12197,100,306,87,93,104,112,79,17,181,37,180,228,149,252,48,84,56,16,80
K12198,71,258,35,49,105,87,72,10,148,20,116,216,132,267,34,50,35,15,49
K12199,85,593,35,50,98,150,61,8,243,17,137,451,122,439,35,37,51,5,62
K12200,100,1091,30,43,129,242,73,3,362,24,95,681,79,805,37,58,63,13,48
K12201,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0
K12202,0,17,43,3,1,38,21,6,35,37,27,3,30,9,41,7,3,13,84
K12203,2,46,87,13,4,93,54,51,90,67,86,12,82,21,108,53,5,22,205
K12204,0,7,39,14,2,41,23,10,49,31,38,3,20,3,30,24,3,11,91
K12205,0,2,13,1,1,5,4,5,7,5,9,0,2,0,3,2,0,1,21
K12206,0,135,229,58,2,214,122,87,327,187,253,26,178,27,247,94,17,41,593
K12207,0,4,5,0,0,9,1,3,7,9,4,0,6,0,10,4,0,1,17
K12208,0,11,37,0,0,23,13,5,24,29,19,2,21,0,26,1,0,6,40
K12209,0,8,19,2,0,42,15,6,17,16,15,3,15,2,23,3,0,1,54
K12211,0,0,0,0,0,1,2,0,2,0,1,1,0,0,0,0,2,3,3
K12212,0,11,25,7,0,20,19,5,37,22,27,1,19,0,14,17,0,1,42
K12213,0,19,32,4,2,37,32,10,55,44,29,2,37,6,42,15,4,10,98
K12214,0,6,21,9,1,27,23,6,12,26,17,2,11,10,21,22,1,8,77
K12217,3,82,195,34,6,135,77,61,215,126,158,15,145,16,157,60,10,58,349
K12218,0,18,41,12,2,42,23,18,40,29,29,3,29,9,42,26,4,11,114
K12219,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
K12221,0,8,14,0,0,21,5,6,16,9,1,6,2,0,9,2,0,2,30
K12222,0,2,8,0,0,14,4,1,13,6,7,0,5,0,8,0,0,4,16
K12223,0,1,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0
K12224,0,26,11,0,0,30,6,5,32,20,2,0,11,3,9,1,1,4,31
K12225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K12226,0,1,2,0,0,0,2,4,1,1,0,1,0,14,0,0,0,0,6
K12229,7,0,2,4,3,5,3,0,0,0,1,3,2,2,2,1,5,0,0
K12230,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12231,68,1096,64,30,133,140,47,17,124,38,67,187,71,202,32,32,84,35,33
K12232,41,29,36,18,36,33,22,3,32,15,28,16,42,32,21,27,28,6,18
K12233,81,45,76,30,35,65,27,18,77,51,26,48,41,53,53,23,44,21,28
K12234,1369,2253,947,1016,361,1362,1552,4621,1885,774,1861,1850,1317,1751,1246,1932,1398,2939,1117
K12235,205,827,367,303,237,339,673,766,494,306,866,549,864,499,281,427,238,490,663
K12236,27,12,24,31,11,20,8,10,11,18,19,10,22,37,12,10,88,4,19
K12237,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0
K12238,0,3,0,0,0,0,2,5,0,0,2,3,0,3,0,1,1,1,0
K12239,44,35,19,27,40,28,27,7,44,8,43,31,63,30,25,19,8,2,31
K12240,200,242,204,213,164,247,117,54,337,80,224,177,344,270,142,186,124,63,190
K12242,1,5,10,4,7,17,6,4,22,9,5,1,19,7,16,1,1,3,10
K12243,117,14,25,28,0,23,17,9,24,22,24,59,14,23,35,28,37,6,3
K12244,476,272,197,200,186,222,215,92,259,108,344,340,368,392,193,213,250,49,168
K12245,5,11,7,5,2,16,7,9,11,12,10,12,7,5,6,3,6,13,2
