K00044,7,13,16,19,50,15,26,21,11,11,19
K00045,928,2231,880,1498,1326,1711,585,2375,1917,843,2962
K00046,5204,6274.5,3244,2870,6994.5,6368,3037,4158.5,5700,3988.5,5403
K00048,23,53,42,22,56,75,43,38,58,65,26
K00049,199,237,170,64,317,224,128,91,164,145,104
K00050,50,125,111,45,97,159,106,110,169,64,133
K00051,49,630,46,54,97,209,32,65,365,24,80
K00052,19230,21021,23160,19566,25169,22126,18601,26453,15922,24333,26977
K00053,18288,18057,21063,18407,22535,22050,16160,24416,14042,22886,27155
K00054,2341,7097,2386,2487,7998,4011,1625,6273,4088,2190,4517
K00055,215,306,111,61,548,234,84,156,265,163,127
K00057,14439,9509,8148,7498,14639,10032,7944,9774,7600,9383,9849
K00058,23067,25733,28890,24668,33057,28656,25327,28933,20995,29578,29978
K00059,32290,51546,35819,30122.5,64292,48263,33047.5,41380,42278,39551.5,40374
K00060,2097,1781,1078,1320,2737,1663,944,2461,1371,786,1863
K00061,7,42,83,74,13,15,99,55,19,39,75
K00062,1,6,7,1,9,6,16,2,1,5,9
K00063,5,17,13,3,5,8,5,7,19,5,3
K00064,1477,2928,2096,1515,2514,3397,1563,2358,2804,1943,3121
K00065,4524,4769.5,4288,3588,6523.5,5707,4306,4501.5,4402,5004.5,5579
K00066,87,232,105,68,644,143,167,114,255,127,52
K00067,7177,5448.5,4796,3897,9440,4983,4940,4022.5,3949,4898.5,4390.5
K00068,105,296,192,194,340,315,220,194,220,252,442
K00069,123,133,68,72,120,116,74,174,179,101,110
K00070,1,0,2,0,0,3,3,2,1,1,3
K00071,0,0,2,0,0,2,1,1,0,0,1
K00072,8,1,2,5,4,2,1,1,2,5,3
K00073,83,403,346,318,412,386,514,236,355,399,407
K00074,3915,11054,3762,3720,8800,7396,2663,8257,6602,3133,6550
K00075,10312,6817,11814,9397,11286,7102,11238,8473,5224,11287,9044
K00076,1075,1648,738,778,964,1681,528,1454,1534,754,1408
K00077,2912,6560,5074,4730,6924,6688,4646,5559,5805,4743,7641
K00078,561,501,483,394,611,721,509,753,836,538,456
K00079,93,148,126,96,34,145,83,219,168,79,106
K00081,28,7,2,4,10,14,11,9,9,5,7
K00082,7,946,2782,1099,105,904,2621,611,430,2533,1035
K00083,56,126,49,53,34,90,30,102,82,46,68
K00084,1,4,1,0,2,4,2,0,0,5,2
K00085,2,4,3,9,7,9,2,9,1,8,12
K00086,43,93,63,45,39,113,92,113,104,101,91
K00087,269,2559,927,427,2971,1852,830,1169,1707,688,605
K00088,22162,26598,25176.5,22654.5,30930.5,26469.5,19950,31224,19378.5,26662.5,35010.5
K00090,425,745,462,558,969,874,350,681,811,481,902
K00091,1645,3266,2908,4531,3436,3923,3220,3483,2418,6465,4263
K00093,2,8,25,37,3,11,28,30,8,21,39
K00094,4,34,24,15,12,37,33,23,5,53,10
K00096,151,557,418,354,3851,623,361,562,321,388,647
K00097,14024,8197,13592,10895,10558,10544,12219,10588,6423,13538,13780
K00098,637,490,316,270,227,740,260,138,600,524,468
